timestamp,product_id,price,best_bid,best_ask,mid_price,ema_price,ema_mid
2025-06-18T10:36:09.869518Z,BTC-USD,104490,104482,104490,104486,104488,104487
2025-06-18T10:36:10.748646Z,BTC-USD,104482,104482,104482,104482,104488,104487
2025-06-18T10:36:10.886337Z,BTC-USD,104482,104482,104482,104482,104487,104487
2025-06-18T10:36:10.886337Z,BTC-USD,104482,104482,104482,104482,104487,104486
2025-06-18T10:36:11.638373Z,BTC-USD,104491,104487,104491,104489,104487,104487
2025-06-18T10:36:11.638373Z,BTC-USD,104491,104487,104491,104489,104488,104487
2025-06-18T10:36:11.715123Z,BTC-USD,104483,104483,104491,104487,104487,104487
2025-06-18T10:36:11.715123Z,BTC-USD,104483,104483,104491,104487,104487,104487
2025-06-18T10:36:12.405934Z,BTC-USD,104487,104487,104487,104487,104487,104487
2025-06-18T10:36:12.528743Z,BTC-USD,104487,104487,104487,104487,104487,104487
2025-06-18T10:36:13.150259Z,BTC-USD,104482,104482,104482,104482,104487,104487
2025-06-18T10:36:13.193600Z,BTC-USD,104482,104482,104482,104482,104487,104486
2025-06-18T10:36:13.205806Z,BTC-USD,104482,104482,104482,104482,104487,104486
2025-06-18T10:36:13.205806Z,BTC-USD,104482,104482,104482,104482,104486,104486
2025-06-18T10:36:13.401381Z,BTC-USD,104482,104482,104482,104482,104486,104486
2025-06-18T10:36:13.747746Z,BTC-USD,104482,104482,104482,104482,104486,104486
2025-06-18T10:36:13.747746Z,BTC-USD,104482,104482,104482,104482,104486,104486
2025-06-18T10:36:13.941421Z,BTC-USD,104487,104487,104487,104487,104486,104486
2025-06-18T10:36:14.521857Z,BTC-USD,104486,104486,104486,104486,104486,104486
2025-06-18T10:36:14.521857Z,BTC-USD,104486,104486,104486,104486,104486,104486
2025-06-18T10:36:14.521857Z,BTC-USD,104486,104486,104486,104486,104486,104486
2025-06-18T10:36:14.521857Z,BTC-USD,104486,104486,104486,104486,104486,104486
2025-06-18T10:36:14.720107Z,BTC-USD,104488,104484,104488,104486,104486,104486
2025-06-18T10:36:14.720107Z,BTC-USD,104484,104484,104488,104486,104486,104486
2025-06-18T10:36:14.758602Z,BTC-USD,104488,104488,104488,104488,104486,104486
2025-06-18T10:36:14.758602Z,BTC-USD,104488,104488,104488,104488,104486,104486
2025-06-18T10:36:15.373495Z,BTC-USD,104484,104484,104484,104484,104486,104486
2025-06-18T10:36:15.373495Z,BTC-USD,104484,104476,104484,104480,104486,104485
2025-06-18T10:36:15.373495Z,BTC-USD,104476,104476,104484,104480,104485,104485
2025-06-18T10:36:15.519842Z,BTC-USD,104477,104477,104477,104477,104485,104485
2025-06-18T10:36:15.585492Z,BTC-USD,104483,104483,104483,104483,104485,104485
2025-06-18T10:36:16.206135Z,BTC-USD,104481,104481,104483,104482,104485,104485
2025-06-18T10:36:16.425927Z,BTC-USD,104483,104483,104483,104483,104485,104485
2025-06-18T10:36:16.425927Z,BTC-USD,104483,104483,104483,104483,104485,104485
2025-06-18T10:36:16.896563Z,BTC-USD,104483,104483,104483,104483,104485,104485
2025-06-18T10:36:17.063396Z,BTC-USD,104483,104483,104483,104483,104485,104484
2025-06-18T10:36:17.192288Z,BTC-USD,104478,104478,104478,104478,104484,104484
2025-06-18T10:36:17.858146Z,BTC-USD,104483,104483,104483,104483,104484,104484
2025-06-18T10:36:17.858146Z,BTC-USD,104483,104483,104483,104483,104484,104484
2025-06-18T10:36:18.002129Z,BTC-USD,104483,104483,104483,104483,104484,104484
2025-06-18T10:36:18.702059Z,BTC-USD,104484,104484,104484,104484,104484,104484
2025-06-18T10:36:18.715728Z,BTC-USD,104484,104484,104484,104484,104484,104484
2025-06-18T10:36:18.851906Z,BTC-USD,104479,104479,104479,104479,104484,104484
2025-06-18T10:36:19.365848Z,BTC-USD,104481,104480,104481,104481,104484,104484
2025-06-18T10:36:19.365848Z,BTC-USD,104481,104480,104481,104481,104484,104484
2025-06-18T10:36:19.481672Z,BTC-USD,104480,104480,104481,104481,104484,104484
2025-06-18T10:36:19.491746Z,BTC-USD,104476,104476,104481,104479,104483,104483
2025-06-18T10:36:19.661221Z,BTC-USD,104481,104476,104481,104479,104483,104483
2025-06-18T10:36:20.176304Z,BTC-USD,104479,104479,104479,104479,104483,104483
2025-06-18T10:36:20.241842Z,BTC-USD,104476,104476,104476,104476,104483,104483
2025-06-18T10:36:20.241842Z,BTC-USD,104476,104468,104476,104472,104483,104482
2025-06-18T10:36:20.241842Z,BTC-USD,104468,104465,104476,104471,104482,104482
2025-06-18T10:36:20.241842Z,BTC-USD,104465,104465,104476,104471,104481,104481
2025-06-18T10:36:20.433227Z,BTC-USD,104475,104475,104475,104475,104481,104481
2025-06-18T10:36:20.436519Z,BTC-USD,104475,104475,104475,104475,104481,104481
2025-06-18T10:36:20.820181Z,BTC-USD,104475,104475,104475,104475,104481,104481
2025-06-18T10:36:21.042040Z,BTC-USD,104475,104472,104475,104474,104480,104480
2025-06-18T10:36:21.042040Z,BTC-USD,104472,104472,104475,104474,104480,104480
2025-06-18T10:36:21.249532Z,BTC-USD,104472,104472,104472,104472,104480,104480
2025-06-18T10:36:21.468723Z,BTC-USD,104472,104472,104472,104472,104479,104480
2025-06-18T10:36:21.501276Z,BTC-USD,104472,104472,104472,104472,104479,104479
2025-06-18T10:36:21.592459Z,BTC-USD,104472,104472,104472,104472,104479,104479
2025-06-18T10:36:21.930411Z,BTC-USD,104472,104472,104472,104472,104479,104479
2025-06-18T10:36:21.930411Z,BTC-USD,104472,104464,104472,104468,104478,104478
2025-06-18T10:36:21.930411Z,BTC-USD,104464,104463,104472,104468,104478,104478
2025-06-18T10:36:21.930411Z,BTC-USD,104463,104463,104472,104468,104477,104477
2025-06-18T10:36:22.093541Z,BTC-USD,104472,104472,104472,104472,104477,104477
2025-06-18T10:36:22.304586Z,BTC-USD,104472,104472,104472,104472,104477,104477
2025-06-18T10:36:22.857371Z,BTC-USD,104466,104466,104472,104469,104476,104477
2025-06-18T10:36:22.857371Z,BTC-USD,104466,104466,104472,104469,104476,104476
2025-06-18T10:36:22.858197Z,BTC-USD,104472,104466,104472,104469,104476,104476
2025-06-18T10:36:22.882740Z,BTC-USD,104472,104463,104472,104468,104476,104476
2025-06-18T10:36:22.882740Z,BTC-USD,104472,104463,104472,104468,104476,104475
2025-06-18T10:36:22.882740Z,BTC-USD,104472,104463,104472,104468,104475,104475
2025-06-18T10:36:23.278436Z,BTC-USD,104472,104463,104472,104468,104475,104475
2025-06-18T10:36:23.285115Z,BTC-USD,104463,104460,104472,104466,104475,104475
2025-06-18T10:36:23.285115Z,BTC-USD,104460,104460,104472,104466,104474,104474
2025-06-18T10:36:23.285115Z,BTC-USD,104460,104460,104472,104466,104474,104474
2025-06-18T10:36:23.285233Z,BTC-USD,104460,104460,104472,104466,104473,104474
2025-06-18T10:36:23.285710Z,BTC-USD,104460,104460,104467,104463,104473,104473
2025-06-18T10:36:23.294514Z,BTC-USD,104460,104460,104463,104462,104472,104473
2025-06-18T10:36:23.298476Z,BTC-USD,104460,104460,104463,104461,104472,104472
2025-06-18T10:36:23.298476Z,BTC-USD,104460,104458,104463,104461,104471,104472
2025-06-18T10:36:23.363918Z,BTC-USD,104458,104458,104458,104458,104471,104471
2025-06-18T10:36:23.363918Z,BTC-USD,104458,104457,104458,104458,104470,104471
2025-06-18T10:36:23.363918Z,BTC-USD,104457,104456,104458,104457,104470,104470
2025-06-18T10:36:23.363918Z,BTC-USD,104456,104455,104458,104457,104469,104470
2025-06-18T10:36:23.363918Z,BTC-USD,104455,104455,104458,104457,104469,104469
2025-06-18T10:36:23.363918Z,BTC-USD,104455,104453,104458,104456,104468,104469
2025-06-18T10:36:23.363918Z,BTC-USD,104453,104453,104458,104456,104468,104468
2025-06-18T10:36:23.504924Z,BTC-USD,104452,104452,104452,104452,104467,104468
2025-06-18T10:36:23.504924Z,BTC-USD,104452,104452,104452,104452,104466,104467
2025-06-18T10:36:23.573987Z,BTC-USD,104452,104452,104452,104452,104466,104466
2025-06-18T10:36:23.683613Z,BTC-USD,104452,104452,104452,104452,104465,104466
2025-06-18T10:36:23.850651Z,BTC-USD,104453,104453,104453,104453,104465,104465
2025-06-18T10:36:24.203023Z,BTC-USD,104453,104453,104453,104453,104464,104465
2025-06-18T10:36:24.257273Z,BTC-USD,104453,104453,104453,104453,104464,104464
2025-06-18T10:36:24.348189Z,BTC-USD,104453,104453,104453,104453,104463,104464
2025-06-18T10:36:24.348189Z,BTC-USD,104453,104453,104453,104453,104463,104463
2025-06-18T10:36:24.516564Z,BTC-USD,104455,104453,104455,104454,104463,104463
2025-06-18T10:36:24.683926Z,BTC-USD,104453,104453,104458,104456,104462,104463
2025-06-18T10:36:25.273340Z,BTC-USD,104454,104454,104454,104454,104462,104462
2025-06-18T10:36:25.273340Z,BTC-USD,104454,104454,104454,104454,104462,104462
2025-06-18T10:36:25.352558Z,BTC-USD,104452,104452,104454,104453,104461,104462
2025-06-18T10:36:25.378061Z,BTC-USD,104454,104452,104454,104453,104461,104461
2025-06-18T10:36:25.925230Z,BTC-USD,104458,104452,104458,104455,104461,104461
2025-06-18T10:36:25.925230Z,BTC-USD,104452,104450,104458,104454,104461,104461
2025-06-18T10:36:25.925230Z,BTC-USD,104450,104450,104458,104454,104460,104461
2025-06-18T10:36:26.014225Z,BTC-USD,104458,104458,104458,104458,104460,104461
2025-06-18T10:36:26.079853Z,BTC-USD,104450,104450,104458,104454,104460,104460
2025-06-18T10:36:26.079853Z,BTC-USD,104450,104450,104458,104454,104459,104460
2025-06-18T10:36:26.134314Z,BTC-USD,104458,104458,104458,104458,104459,104460
2025-06-18T10:36:26.707135Z,BTC-USD,104461,104450,104461,104455,104459,104460
2025-06-18T10:36:26.773726Z,BTC-USD,104457,104452,104457,104454,104459,104460
2025-06-18T10:36:26.773726Z,BTC-USD,104452,104452,104457,104454,104459,104459
2025-06-18T10:36:26.937546Z,BTC-USD,104460,104450,104460,104455,104459,104459
2025-06-18T10:36:26.995623Z,BTC-USD,104453,104453,104453,104453,104459,104459
2025-06-18T10:36:27.378169Z,BTC-USD,104455,104455,104459,104457,104459,104459
2025-06-18T10:36:27.727652Z,BTC-USD,104455,104455,104459,104457,104458,104459
2025-06-18T10:36:27.727652Z,BTC-USD,104455,104455,104459,104457,104458,104459
2025-06-18T10:36:27.727652Z,BTC-USD,104455,104455,104459,104457,104458,104459
2025-06-18T10:36:27.781753Z,BTC-USD,104459,104450,104459,104454,104458,104458
2025-06-18T10:36:27.781753Z,BTC-USD,104459,104450,104459,104454,104458,104458
2025-06-18T10:36:27.781753Z,BTC-USD,104459,104450,104459,104454,104458,104458
2025-06-18T10:36:28.039496Z,BTC-USD,104455,104455,104460,104457,104458,104458
2025-06-18T10:36:28.370185Z,BTC-USD,104454,104454,104459,104457,104458,104458
2025-06-18T10:36:28.606703Z,BTC-USD,104459,104455,104459,104457,104458,104458
2025-06-18T10:36:28.606703Z,BTC-USD,104459,104455,104459,104457,104458,104458
2025-06-18T10:36:28.658210Z,BTC-USD,104459,104455,104459,104457,104458,104458
2025-06-18T10:36:28.658210Z,BTC-USD,104459,104455,104459,104457,104458,104458
2025-06-18T10:36:28.706726Z,BTC-USD,104459,104451,104459,104455,104458,104458
2025-06-18T10:36:29.084194Z,BTC-USD,104459,104459,104459,104459,104458,104458
2025-06-18T10:36:29.089549Z,BTC-USD,104459,104459,104459,104459,104458,104458
2025-06-18T10:36:29.344352Z,BTC-USD,104456,104456,104456,104456,104458,104458
2025-06-18T10:36:29.385349Z,BTC-USD,104456,104456,104456,104456,104458,104458
2025-06-18T10:36:29.402568Z,BTC-USD,104456,104456,104459,104458,104458,104458
